event_id,transaction_id,event_type,event_status,event_timestamp,provider
EVT-715BB9AFF1,TXN-14BDB52C27,INITIATED,RECEIVED,2026-08-25 18:52:32.732297,Provider B
EVT-A3585ECDF8,TXN-14BDB52C27,PROCESSING,RECEIVED,2026-08-25 18:52:37.732297,Provider B
EVT-F8BAD02094,TXN-14BDB52C27,SUCCESS,CONFIRMED,2026-08-25 18:52:47.732297,Provider B
EVT-F7A9A97D33,TXN-14BDB52C27,SETTLEMENT,CONFIRMED,2026-08-25 18:52:48.732297,Provider B
EVT-98ECB30C76,TXN-DCC8A8826F,INITIATED,RECEIVED,2026-09-16 15:03:48.732848,Provider B
EVT-964E0186CB,TXN-DCC8A8826F,PROCESSING,RECEIVED,2026-09-16 15:03:50.732848,Provider B
EVT-6468A7EBE2,TXN-DCC8A8826F,SUCCESS,CONFIRMED,2026-09-16 15:04:03.732848,Provider B
EVT-D3A42606EF,TXN-DCC8A8826F,SETTLEMENT,CONFIRMED,2026-09-16 15:04:09.732848,Provider B
EVT-07016F9232,TXN-3A1FD5888B,INITIATED,RECEIVED,2026-08-25 08:14:56.732964,Provider C
EVT-1DA3514F60,TXN-3A1FD5888B,PROCESSING,RECEIVED,2026-08-25 08:15:01.732964,Provider C
EVT-223A4EEA36,TXN-3A1FD5888B,SUCCESS,CONFIRMED,2026-08-25 08:15:05.732964,Provider C
EVT-C4BC2EE4A3,TXN-3A1FD5888B,SETTLEMENT,CONFIRMED,2026-08-25 08:15:07.732964,Provider C
EVT-D3E1B00392,TXN-42B5BC61C5,INITIATED,RECEIVED,2026-08-22 14:33:17.733043,Provider B
EVT-2A44248AA1,TXN-42B5BC61C5,PROCESSING,RECEIVED,2026-08-22 14:33:19.733043,Provider B
EVT-3DFEEB8ADA,TXN-42B5BC61C5,SUCCESS,CONFIRMED,2026-08-22 14:33:30.733043,Provider B
EVT-BA9091BF3B,TXN-42B5BC61C5,SETTLEMENT,CONFIRMED,2026-08-22 14:33:35.733043,Provider B
EVT-E977F982C8,TXN-2AD3D10E0A,INITIATED,RECEIVED,2026-08-23 20:21:19.733111,Provider B
EVT-EAD19E9DB2,TXN-2AD3D10E0A,PROCESSING,RECEIVED,2026-08-23 20:21:21.733111,Provider B
EVT-9679726666,TXN-2AD3D10E0A,SUCCESS,CONFIRMED,2026-08-23 20:21:35.733111,Provider B
EVT-DE151E2B3B,TXN-2AD3D10E0A,SETTLEMENT,CONFIRMED,2026-08-23 20:21:36.733111,Provider B
EVT-112C4CF474,TXN-870178926E,INITIATED,RECEIVED,2026-09-04 16:41:41.733178,Provider B
EVT-1251A60CD4,TXN-870178926E,PROCESSING,RECEIVED,2026-09-04 16:41:46.733178,Provider B
EVT-F5DCB80746,TXN-870178926E,SUCCESS,CONFIRMED,2026-09-04 16:41:53.733178,Provider B
EVT-463E088887,TXN-870178926E,SETTLEMENT,CONFIRMED,2026-09-04 16:42:03.733178,Provider B
EVT-49F9BF74E1,TXN-A5D26F94F1,INITIATED,RECEIVED,2026-09-08 18:30:03.733239,Provider A
EVT-7193A2AA01,TXN-A5D26F94F1,PROCESSING,RECEIVED,2026-09-08 18:30:07.733239,Provider A
EVT-EE317B56E8,TXN-A5D26F94F1,SUCCESS,CONFIRMED,2026-09-08 18:30:17.733239,Provider A
EVT-10E97DF894,TXN-A5D26F94F1,SETTLEMENT,CONFIRMED,2026-09-08 18:30:25.733239,Provider A
EVT-2A848EAF1F,TXN-9EADDBDADC,INITIATED,RECEIVED,2026-09-15 01:37:42.733300,Provider C
EVT-16B5B20F9C,TXN-9EADDBDADC,PROCESSING,RECEIVED,2026-09-15 01:37:47.733300,Provider C
EVT-4584BCC091,TXN-9EADDBDADC,SUCCESS,CONFIRMED,2026-09-15 01:38:00.733300,Provider C
EVT-2A6BF1ED0A,TXN-9EADDBDADC,SETTLEMENT,CONFIRMED,2026-09-15 01:38:03.733300,Provider C
EVT-1C8AA39122,TXN-FC83BB1A5C,INITIATED,RECEIVED,2026-09-14 00:39:27.733361,Provider B
EVT-67C2B07601,TXN-FC83BB1A5C,PROCESSING,RECEIVED,2026-09-14 00:39:30.733361,Provider B
EVT-8923A99924,TXN-FC83BB1A5C,PENDING,AWAITING_CONFIRMATION,2026-09-14 00:39:42.733361,Provider B
EVT-A8933AAE97,TXN-34152A467D,INITIATED,RECEIVED,2026-08-23 04:39:11.733417,Provider D
EVT-511C492F58,TXN-34152A467D,PROCESSING,RECEIVED,2026-08-23 04:39:13.733417,Provider D
EVT-EF98C1BCF8,TXN-34152A467D,SUCCESS,CONFIRMED,2026-08-23 04:39:28.733417,Provider D
EVT-3F613042B9,TXN-34152A467D,SETTLEMENT,CONFIRMED,2026-08-23 04:39:37.733417,Provider D
EVT-FE782956EF,TXN-1DBC65F256,INITIATED,RECEIVED,2026-08-30 03:31:24.733478,Provider D
EVT-6C826C3B31,TXN-1DBC65F256,PROCESSING,RECEIVED,2026-08-30 03:31:29.733478,Provider D
EVT-5FED60D5B3,TXN-1DBC65F256,SUCCESS,CONFIRMED,2026-08-30 03:31:33.733478,Provider D
EVT-380C05A893,TXN-1DBC65F256,SETTLEMENT,CONFIRMED,2026-08-30 03:31:34.733478,Provider D
EVT-5A98A83F83,TXN-625880E414,INITIATED,RECEIVED,2026-08-23 19:52:42.733536,Provider A
EVT-3BA8500E1D,TXN-625880E414,PROCESSING,RECEIVED,2026-08-23 19:52:47.733536,Provider A
EVT-BF1CB15B6E,TXN-625880E414,SUCCESS,CONFIRMED,2026-08-23 19:52:57.733536,Provider A
EVT-19F35A7983,TXN-625880E414,SETTLEMENT,CONFIRMED,2026-08-23 19:53:05.733536,Provider A
EVT-F8F0F7A523,TXN-BB255C9E6B,INITIATED,RECEIVED,2026-09-01 04:16:40.733599,Provider A
EVT-0D10CD06B4,TXN-BB255C9E6B,PROCESSING,RECEIVED,2026-09-01 04:16:41.733599,Provider A
EVT-93C6F57982,TXN-BB255C9E6B,FAILED,NETWORK_ERROR,2026-09-01 04:17:09.733599,Provider A
EVT-91111EA3B9,TXN-0C8C4DA908,INITIATED,RECEIVED,2026-09-05 20:28:54.733659,Provider B
EVT-404A950500,TXN-0C8C4DA908,PROCESSING,RECEIVED,2026-09-05 20:28:55.733659,Provider B
EVT-A006DE7072,TXN-0C8C4DA908,FAILED,NETWORK_ERROR,2026-09-05 20:29:25.733659,Provider B
EVT-C86616E153,TXN-FF21D4DF8A,INITIATED,RECEIVED,2026-09-16 02:20:27.733712,Provider A
EVT-B74BC4FD1F,TXN-FF21D4DF8A,PROCESSING,RECEIVED,2026-09-16 02:20:29.733712,Provider A
EVT-9086655D23,TXN-FF21D4DF8A,SUCCESS,CONFIRMED,2026-09-16 02:20:36.733712,Provider A
EVT-63DDA74D9F,TXN-FF21D4DF8A,SETTLEMENT,CONFIRMED,2026-09-16 02:20:37.733712,Provider A
EVT-0D323BBEE2,TXN-ECD1C86E3E,INITIATED,RECEIVED,2026-09-08 08:02:23.733766,Provider D
EVT-96EA0483F5,TXN-ECD1C86E3E,PROCESSING,RECEIVED,2026-09-08 08:02:26.733766,Provider D
EVT-1FF187BC6D,TXN-ECD1C86E3E,SUCCESS,CONFIRMED,2026-09-08 08:02:27.733766,Provider D
EVT-0241594E20,TXN-ECD1C86E3E,SETTLEMENT,CONFIRMED,2026-09-08 08:02:28.733766,Provider D
EVT-F907DBF12A,TXN-384E25C6EE,INITIATED,RECEIVED,2026-09-17 17:46:54.733821,Provider A
EVT-562D336D3A,TXN-384E25C6EE,PROCESSING,RECEIVED,2026-09-17 17:46:58.733821,Provider A
EVT-C2A2579343,TXN-384E25C6EE,SUCCESS,CONFIRMED,2026-09-17 17:47:00.733821,Provider A
EVT-90CC3252BC,TXN-384E25C6EE,SETTLEMENT,CONFIRMED,2026-09-17 17:47:10.733821,Provider A
EVT-3F213719E5,TXN-4EC219511F,INITIATED,RECEIVED,2026-09-01 08:01:38.733872,Provider C
EVT-33C53AA0AF,TXN-4EC219511F,PROCESSING,RECEIVED,2026-09-01 08:01:42.733872,Provider C
EVT-DAE1D4A8BD,TXN-4EC219511F,SUCCESS,CONFIRMED,2026-09-01 08:01:48.733872,Provider C
EVT-08B16F96C9,TXN-4EC219511F,SETTLEMENT,CONFIRMED,2026-09-01 08:01:50.733872,Provider C
EVT-AFAE748364,TXN-2AB33F4326,INITIATED,RECEIVED,2026-08-20 20:01:07.733925,Provider B
EVT-6BB2A5A150,TXN-2AB33F4326,PROCESSING,RECEIVED,2026-08-20 20:01:09.733925,Provider B
EVT-F5F7675F79,TXN-2AB33F4326,SUCCESS,CONFIRMED,2026-08-20 20:01:17.733925,Provider B
EVT-E8941D72D2,TXN-2AB33F4326,SETTLEMENT,CONFIRMED,2026-08-20 20:01:26.733925,Provider B
EVT-A9004157B0,TXN-4481685EE6,INITIATED,RECEIVED,2026-09-04 01:37:24.733979,Provider C
EVT-3855E211DD,TXN-4481685EE6,PROCESSING,RECEIVED,2026-09-04 01:37:27.733979,Provider C
EVT-EA3128A1BA,TXN-4481685EE6,SUCCESS,CONFIRMED,2026-09-04 01:37:32.733979,Provider C
EVT-6FFFFA24E4,TXN-4481685EE6,SETTLEMENT,CONFIRMED,2026-09-04 01:37:42.733979,Provider C
EVT-DD46037AF5,TXN-CF05878980,INITIATED,RECEIVED,2026-08-30 14:34:00.734032,Provider C
EVT-D52646BEB9,TXN-CF05878980,PROCESSING,RECEIVED,2026-08-30 14:34:03.734032,Provider C
EVT-8F220DDD41,TXN-CF05878980,SUCCESS,CONFIRMED,2026-08-30 14:34:06.734032,Provider C
EVT-5C7CB9E01E,TXN-CF05878980,SETTLEMENT,CONFIRMED,2026-08-30 14:34:14.734032,Provider C
EVT-D45842D9CC,TXN-E7CB30E1CC,INITIATED,RECEIVED,2026-09-16 03:55:11.734083,Provider A
EVT-996359A43B,TXN-E7CB30E1CC,PROCESSING,RECEIVED,2026-09-16 03:55:14.734083,Provider A
EVT-EC58C2A6E1,TXN-E7CB30E1CC,SUCCESS,CONFIRMED,2026-09-16 03:55:20.734083,Provider A
EVT-E396A70108,TXN-E7CB30E1CC,SETTLEMENT,CONFIRMED,2026-09-16 03:55:21.734083,Provider A
EVT-8D8E2EF6D8,TXN-04A261975C,INITIATED,RECEIVED,2026-09-06 18:02:36.736038,Provider D
EVT-74361E59F2,TXN-04A261975C,PROCESSING,RECEIVED,2026-09-06 18:02:39.736038,Provider D
EVT-B31277FBC4,TXN-04A261975C,SUCCESS,CONFIRMED,2026-09-06 18:02:52.736038,Provider D
EVT-5BC20BAB6F,TXN-04A261975C,SETTLEMENT,CONFIRMED,2026-09-06 18:02:59.736038,Provider D
EVT-93FCD4FB89,TXN-7122D8680E,INITIATED,RECEIVED,2026-09-01 10:18:04.736168,Provider A
EVT-A70C0936FD,TXN-7122D8680E,PROCESSING,RECEIVED,2026-09-01 10:18:05.736168,Provider A
EVT-A1D1E3B29F,TXN-7122D8680E,SUCCESS,CONFIRMED,2026-09-01 10:18:16.736168,Provider A
EVT-7D438392F6,TXN-7122D8680E,SETTLEMENT,CONFIRMED,2026-09-01 10:18:20.736168,Provider A
EVT-1390CD92F2,TXN-74DA633097,INITIATED,RECEIVED,2026-09-08 17:24:43.736337,Provider D
EVT-2933A98662,TXN-74DA633097,PROCESSING,RECEIVED,2026-09-08 17:24:44.736337,Provider D
EVT-0CABFE4C72,TXN-74DA633097,SUCCESS,CONFIRMED,2026-09-08 17:24:46.736337,Provider D
EVT-613CF3311B,TXN-74DA633097,SETTLEMENT,CONFIRMED,2026-09-08 17:24:56.736337,Provider D
EVT-0B89F49C5D,TXN-4A04AB804E,INITIATED,RECEIVED,2026-09-10 11:28:08.736431,Provider A
EVT-EF555A08A6,TXN-4A04AB804E,PROCESSING,RECEIVED,2026-09-10 11:28:11.736431,Provider A
EVT-37B8255062,TXN-4A04AB804E,SUCCESS,CONFIRMED,2026-09-10 11:28:18.736431,Provider A
EVT-B93E94D284,TXN-4A04AB804E,SETTLEMENT,CONFIRMED,2026-09-10 11:28:20.736431,Provider A
EVT-E67F70A8BD,TXN-85E78DE20E,INITIATED,RECEIVED,2026-09-05 09:52:35.736477,Provider C
EVT-823C2297B6,TXN-85E78DE20E,PROCESSING,RECEIVED,2026-09-05 09:52:39.736477,Provider C
EVT-29AE509CA1,TXN-85E78DE20E,SUCCESS,CONFIRMED,2026-09-05 09:52:50.736477,Provider C
EVT-79D11AD6FE,TXN-85E78DE20E,SETTLEMENT,CONFIRMED,2026-09-05 09:52:53.736477,Provider C
EVT-07095E4F68,TXN-8964875B68,INITIATED,RECEIVED,2026-09-19 06:17:32.736522,Provider C
EVT-4737C54904,TXN-8964875B68,PROCESSING,RECEIVED,2026-09-19 06:17:37.736522,Provider C
EVT-4A323CC83E,TXN-8964875B68,SUCCESS,CONFIRMED,2026-09-19 06:17:45.736522,Provider C
EVT-7E0C3D3BAB,TXN-8964875B68,SETTLEMENT,CONFIRMED,2026-09-19 06:17:48.736522,Provider C
EVT-EF86F8B740,TXN-0C5BB9C3C4,INITIATED,RECEIVED,2026-08-24 11:57:34.736560,Provider B
EVT-70A7144EC4,TXN-0C5BB9C3C4,PROCESSING,RECEIVED,2026-08-24 11:57:39.736560,Provider B
